id,catalogue_id,gaussian_id,source_id,tile_id,sbid,obs_start_time,n_gaus,ra,dec,e_ra,e_dec,total_flux_gaussian,e_total_flux_gaussian_pybdsf,e_total_flux_gaussian,total_flux_source,e_total_flux_source_pybdsf,e_total_flux_source,peak_flux,e_peak_flux,maj,e_maj,min,e_min,pa,e_pa,dc_maj,e_dc_maj,dc_min,e_dc_min,dc_pa,e_dc_pa,s_code,separation_tile_centre,noise,gal_lon,gal_lat
2225051,4549,RACS_2138-31A_1378,RACS_2138-31A_1241,RACS_2138-31A,8595,58603.02228,1,328.197828,-28.965753,1.56,1.86,4.45,1.058,1.333,4.45,1.058,1.333,3.804,0.546,30.05,4.76,24.38,3.18,29.65,28.93,16.68,4.76,0.0,3.18,29.65,28.93,S,3.8696,0.532,19.466624,-50.77455
2225052,4549,RACS_2138-31A_1392,RACS_2138-31A_1253,RACS_2138-31A,8595,58603.02228,1,328.179189,-29.100347,0.4,0.44,12.271,0.841,1.598,12.271,0.841,1.598,12.278,0.485,25.7,1.04,24.36,0.94,173.2,28.75,0.0,1.04,0.0,0.94,0.0,28.75,S,3.7724,0.486,19.252287,-50.777904
2225061,4549,RACS_2138-31A_1423,RACS_2138-31A_1281,RACS_2138-31A,8595,58603.02228,1,328.144305,-29.170449,2.63,2.55,3.676,1.088,1.326,3.676,1.088,1.326,2.389,0.466,32.55,6.6,29.6,5.55,48.87,84.63,20.84,6.6,15.77,5.55,48.87,84.63,S,3.7053,0.434,19.135706,-50.757753
2225070,4549,RACS_2138-31A_1438,RACS_2138-31A_1297,RACS_2138-31A,8595,58603.02228,2,328.086603,-28.78163,0.25,0.22,47.629,1.592,4.151,60.055,2.743,5.445,40.884,0.828,28.03,0.59,26.04,0.51,68.92,9.79,12.64,0.59,7.13,0.51,68.92,9.79,M,3.9171,0.802,19.731372,-50.65092
2225071,4549,RACS_2138-31A_1439,RACS_2138-31A_1297,RACS_2138-31A,8595,58603.02228,2,328.094218,-28.769337,1.46,2.19,12.426,2.234,2.621,60.055,2.743,5.445,6.987,0.856,39.04,5.36,28.54,3.12,17.66,17.33,29.98,5.36,13.68,3.12,17.66,17.33,M,3.9304,0.802,19.752126,-50.655666
2225073,4549,RACS_2138-31A_1443,RACS_2138-31A_1301,RACS_2138-31A,8595,58603.02228,1,328.105891,-29.326993,1.45,1.84,3.556,0.857,1.138,3.556,0.857,1.138,3.16,0.456,28.32,4.34,24.89,3.38,7.66,46.23,0.0,4.34,0.0,3.38,0.0,46.23,S,3.5847,0.445,18.883285,-50.746576
2225075,4549,RACS_2138-31A_1445,RACS_2138-31A_1303,RACS_2138-31A,8595,58603.02228,1,328.098238,-29.271289,1.68,2.43,2.085,0.722,0.969,2.085,0.722,0.969,2.219,0.431,26.9,5.82,21.88,3.82,11.93,39.92,0.0,5.82,0.0,3.82,0.0,39.92,S,3.6123,0.442,18.968971,-50.732188
2225085,4549,RACS_2138-31A_1469,RACS_2138-31A_1326,RACS_2138-31A,8595,58603.02228,1,328.075323,-29.357273,1.42,1.72,2.383,0.657,0.936,2.383,0.657,0.936,2.7,0.408,25.98,4.37,21.27,2.89,29.02,31.52,0.0,4.37,0.0,2.89,0.0,31.52,S,3.5454,0.426,18.83006,-50.724391
2225095,4549,RACS_2138-31A_1493,RACS_2138-31A_1347,RACS_2138-31A,8595,58603.02228,1,328.030654,-29.187545,1.76,1.92,2.471,0.759,1.015,2.471,0.759,1.015,2.572,0.449,25.88,4.78,23.25,3.84,30.8,66.58,0.0,4.78,0.0,3.84,0.0,66.58,S,3.6165,0.455,19.086692,-50.661965
2225100,4549,RACS_2138-31A_1500,RACS_2138-31A_1354,RACS_2138-31A,8595,58603.02228,1,328.010372,-28.954812,0.07,0.07,96.027,1.079,7.302,96.027,1.079,7.302,89.921,0.596,26.26,0.18,25.47,0.17,80.84,7.35,7.95,0.18,4.74,0.17,80.84,7.35,S,3.7518,0.587,19.445718,-50.610704
